url_path,views_total,views_unique
/mrtj/cookiecutter-panorama,8,3
/mrtj/cookiecutter-panorama/blob/main/README.md,7,2
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D,6,2
/mrtj/cookiecutter-panorama/tree/main/.github/workflows,3,2
/mrtj/cookiecutter-panorama/blob/main/%7B%7Bcookiecutter.project_slug%7D%7D/README.md,2,2
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/%7B%7Bcookiecutter.project_slug%7D%7D,2,1
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/%7B%7Bcookiecutter.project_slug%7D%7D/packages,2,1
/mrtj/cookiecutter-panorama/tree/main/%7B%7Bcookiecutter.project_slug%7D%7D/models,2,1
/mrtj/cookiecutter-panorama/blob/main/cookiecutter.json,1,1
/mrtj/cookiecutter-panorama/blob/main/.github/workflows/github-repo-stats.yml,1,1
